462,108,45
276,241,491
437,180,344
80,215,363
490,435,210
125,258,265
243,475,117
517,308,79
107,39,78
206,205,171
508,420,100
191,74,512
174,251,272
233,224,112
294,332,130
320,120,159
128,113,311
164,100,264
111,138,225
459,102,445
185,79,112
415,83,321
330,129,273
507,237,262
264,132,126
207,290,486
272,281,307
493,368,448
329,291,320
247,388,312
120,386,422
340,227,270
376,129,220
472,481,393
359,138,419
133,55,114
87,309,286
182,372,140
159,391,328
428,143,207
207,60,194
287,208,254
183,81,288
226,100,468
359,123,516
476,212,176
308,285,402
454,218,346
397,201,226
170,177,372
